id_chamada;data;nome_fluxo;qtde_rtd_nok;qtde_rtd_ok;qtde_chamadas;tempo_total_rtd;tempo_min_rtd;tempo_max_rtd;tempo_medio_rtd
ba583867fe;01/03/2023;downgradenbo;0;1;1;1,8540217876434326;1,8540217876434326;1,8540217876434326;1,8540217876434326;
5aed993626;01/03/2023;migracaolateralnbo;0;1;1;8,970966339111328;8,970966339111328;8,970966339111328;8,970966339111328;
8dcb0b1cd7;01/03/2023;migracaolateralnbo;0;1;1;9,837462663650513;9,837462663650513;9,837462663650513;9,837462663650513;
f6978ae34f;01/03/2023;migracaolateralnbo;0;1;1;3,8804032802581787;3,8804032802581787;3,8804032802581787;3,8804032802581787;
46c70b1b92;01/03/2023;migracaolateralnbo;0;1;1;8,273350477218628;8,273350477218628;8,273350477218628;8,273350477218628;
9b2ba101f7;01/03/2023;migracaolateralnbo;0;1;1;5,239204406738281;5,239204406738281;5,239204406738281;5,239204406738281;
fbc6ef347d;01/03/2023;migracaolateralnbo;0;1;1;6,4699530601501465;6,4699530601501465;6,4699530601501465;6,4699530601501465;
d1a11922ce;01/03/2023;downgradenbo;0;1;1;12,041184425354004;12,041184425354004;12,041184425354004;12,041184425354004;
3f8dcb5e46;01/03/2023;upgradenbo;0;1;1;2,2128753662109375;2,2128753662109375;2,2128753662109375;2,2128753662109375;
606f0da09a;01/03/2023;migracaolateralnbo;0;1;1;10,22886848449707;10,22886848449707;10,22886848449707;10,22886848449707;
10b3459278;01/03/2023;downgradenbo;0;1;1;9,35448956489563;9,35448956489563;9,35448956489563;9,35448956489563;
a4a7fddab4;01/03/2023;migracaolateralnbo;0;1;1;6,6242451667785645;6,6242451667785645;6,6242451667785645;6,6242451667785645;
ded4596438;01/03/2023;upgradenbo;0;1;1;2,0589559078216553;2,0589559078216553;2,0589559078216553;2,0589559078216553;
b86347f090;01/03/2023;upgradenbo;0;1;1;2,5506794452667236;2,5506794452667236;2,5506794452667236;2,5506794452667236;
9d6b86d073;01/03/2023;;0;0;1;0;0;0;0;
341dfa25ad;01/03/2023;;0;0;1;0;0;0;0;
6788e06eb1;01/03/2023;;0;0;1;0;0;0;0;
